gen,nevals,avg,stddev,min,max,run,representation
0,50,-1.0099999999999998,0.0,-1.0099999999999998,-1.0099999999999998,1,f1-native
1,45,-0.8505333333330778,0.3653840354117306,-1.0099999999999998,-0.0133333333317374,1,f1-native
2,47,-0.4321333324184675,0.4921492599842675,-1.0150000000428947,-0.0133333186114765,1,f1-native
3,40,-0.3532866610685209,0.5142441458287549,-2.0159999999841025,-0.0133333083672183,1,f1-native
4,44,-0.1932333278629895,0.3839754653027301,-1.0150000170277844,-0.0133333074930961,1,f1-native
5,45,-0.2330999990332083,0.4138086015357736,-1.0150000174216691,-0.0133333034675333,1,f1-native
6,46,-0.2129666655541818,0.3992679829806254,-1.0150000170277844,-0.0133333034675333,1,f1-native
7,45,-0.2528332268722476,0.4261945207336406,-1.0150000170277844,-0.0133333034675333,1,f1-native
8,46,-0.2532333203839472,0.4269068980689945,-1.0150000174216691,-0.0133331081741492,1,f1-native
9,47,-0.3529998829621598,0.4732464438162751,-1.0150000232180785,-0.0133331144919026,1,f1-native
10,46,-0.2730666606340084,0.438186202183049,-1.0150000174216691,-0.013333247393212,1,f1-native
11,45,-0.3328533149792528,0.5070071293997562,-2.016000004919666,-0.0133331144919026,1,f1-native
12,44,-0.3731332029985029,0.4797355261521527,-1.0150001362127556,-0.0133331144919026,1,f1-native
13,46,-0.3927080619389775,0.4845898363931616,-1.0150002863719954,-0.0133330667086164,1,f1-native
14,49,-0.2731472873458427,0.4390554558727592,-1.0150002863719954,0.0026208001867176,1,f1-native
15,48,-0.229293235994792,0.4160468319990087,-1.0150000188252293,0.0719839258918567,1,f1-native
16,44,-0.3241577036169705,0.6190063043341297,-3.01666513325653,0.1076465135229561,1,f1-native
17,46,-0.3005645381249305,0.5986617383326879,-2.015999973917284,0.1076465135229561,1,f1-native
18,47,-0.1690816622677215,0.6633152996857883,-3.016666555339877,0.136572604787669,1,f1-native
19,45,-0.1090890305581291,0.5834939626943527,-3.015032397720246,0.1359812586073075,1,f1-native
20,48,-0.1934748578931062,0.9280903120012212,-4.01714285811999,0.2384546235639352,1,f1-native
21,43,0.0637071014535939,0.4435083409112963,-3.016666641741962,0.2494855271673808,1,f1-native
22,45,-0.0040588274345886,0.7702026816206371,-5.002521770437921,0.3326761427153809,1,f1-native
