objective value:                              93711.5
produce#1#1                                       500   (obj:0)
produce#1#2                                       888   (obj:0)
produce#1#3                                       383   (obj:0)
produce#1#4                                       300   (obj:0)
produce#1#5                                       800   (obj:0)
produce#1#6                                       200   (obj:0)
produce#2#1                                       700   (obj:0)
produce#2#2                                       600   (obj:0)
produce#2#3                                       117   (obj:0)
produce#2#5                                       500   (obj:0)
produce#2#6                                       300   (obj:0)
produce#2#7                                       250   (obj:0)
produce#3#6                                       400   (obj:0)
produce#4#1                                       200   (obj:0)
produce#4#2                                       300   (obj:0)
produce#4#3                                       400   (obj:0)
produce#4#4                                       500   (obj:0)
produce#4#5                                       200   (obj:0)
produce#4#7                                       100   (obj:0)
produce#5#2                                       100   (obj:0)
produce#5#3                                       600   (obj:0)
produce#5#4                                       100   (obj:0)
produce#5#5                                      1100   (obj:0)
produce#5#6                                       300   (obj:0)
produce#5#7                                       100   (obj:0)
produce#6#1                                       550   (obj:0)
produce#6#2                                       550   (obj:0)
produce#6#4                                       350   (obj:0)
produce#6#6                                       550   (obj:0)
sell#1#1                                          500   (obj:10)
sell#1#2                                          888   (obj:6)
sell#1#3                                          300   (obj:8)
sell#1#4                                          300   (obj:4)
sell#1#5                                          800   (obj:11)
sell#1#6                                          200   (obj:9)
sell#2#1                                          600   (obj:10)
sell#2#2                                          500   (obj:6)
sell#2#3                                          200   (obj:8)
sell#2#5                                          400   (obj:11)
sell#2#6                                          300   (obj:9)
sell#2#7                                          150   (obj:3)
sell#3#1                                          100   (obj:10)
sell#3#2                                          100   (obj:6)
sell#3#5                                          100   (obj:11)
sell#3#6                                          400   (obj:9)
sell#3#7                                          100   (obj:3)
sell#4#1                                          200   (obj:10)
sell#4#2                                          300   (obj:6)
sell#4#3                                          400   (obj:8)
sell#4#4                                          500   (obj:4)
sell#4#5                                          200   (obj:11)
sell#4#7                                          100   (obj:3)
sell#5#2                                          100   (obj:6)
sell#5#3                                          500   (obj:8)
sell#5#4                                          100   (obj:4)
sell#5#5                                         1000   (obj:11)
sell#5#6                                          300   (obj:9)
sell#6#1                                          500   (obj:10)
sell#6#2                                          500   (obj:6)
sell#6#3                                           50   (obj:8)
sell#6#4                                          300   (obj:4)
sell#6#5                                           50   (obj:11)
sell#6#6                                          500   (obj:9)
sell#6#7                                           50   (obj:3)
stock#1#3                                          83   (obj:-0.5)
stock#2#1                                         100   (obj:-0.5)
stock#2#2                                         100   (obj:-0.5)
stock#2#5                                         100   (obj:-0.5)
stock#2#7                                         100   (obj:-0.5)
stock#5#3                                         100   (obj:-0.5)
stock#5#5                                         100   (obj:-0.5)
sell#6#7                                           50   (obj:3)
stock#1#3                                          83   (obj:-0.5)
stock#2#1                                         100   (obj:-0.5)
stock#2#2                                         100   (obj:-0.5)
stock#2#5                                         100   (obj:-0.5)
stock#2#7                                         100   (obj:-0.5)
stock#5#3                                         100   (obj:-0.5)
stock#5#5                                         100   (obj:-0.5)
stock#2#1                                         100   (obj:-0.5)
stock#2#2                                         100   (obj:-0.5)
stock#2#5                                         100   (obj:-0.5)
stock#2#7                                         100   (obj:-0.5)
stock#5#3                                         100   (obj:-0.5)
stock#5#5                                         100   (obj:-0.5)
stock#2#5                                         100   (obj:-0.5)
stock#2#7                                         100   (obj:-0.5)
stock#5#3                                         100   (obj:-0.5)
stock#5#5                                         100   (obj:-0.5)
stock#5#5                                         100   (obj:-0.5)
stock#5#7                                         100   (obj:-0.5)
stock#6#1                                          50   (obj:-0.5)
stock#6#2                                          50   (obj:-0.5)
stock#6#3                                          50   (obj:-0.5)
stock#6#4                                          50   (obj:-0.5)
stock#6#5                                          50   (obj:-0.5)
stock#6#6                                          50   (obj:-0.5)
stock#6#7                                          50   (obj:-0.5)
