@relation 148141-regression.txt

@attribute dissim numeric
@attribute el0 numeric
@attribute el1 numeric
@attribute el2 numeric
@attribute el3 numeric
@attribute el4 numeric
@attribute el5 numeric
@attribute el6 numeric
@attribute el7 numeric
@attribute el8 numeric
@attribute el9 numeric
@attribute el10 numeric
@attribute el11 numeric
@attribute el12 numeric
@attribute el13 numeric
@attribute el14 numeric
@attribute el15 numeric
@attribute max_el numeric
@attribute diff numeric
@attribute diffplus numeric
@attribute diffminus numeric
@attribute std numeric
@attribute diff/std**0.2 numeric
@attribute diff/std**0.6 numeric
@attribute diff/std**1 numeric
@attribute diff/std**1.4 numeric
@attribute diff/std**2 numeric
@attribute maxmiddle numeric
@attribute similarwindow_4.0 numeric
@attribute similarwindow_4.1 numeric
@attribute similarwindow_4.2 numeric
@attribute similarwindow_4.3 numeric
@attribute stat0 numeric
@attribute stat1 numeric
@attribute stat2 numeric
@attribute stat3 numeric
@attribute stat4 numeric
@attribute stat5 numeric
@attribute stat6 numeric
@attribute stat7 numeric
@attribute stat8 numeric
@attribute stat9 numeric
@attribute stat10 numeric
@attribute stat11 numeric
@attribute stat12 numeric
@attribute stat13 numeric
@attribute stat14 numeric
@attribute stat15 numeric
@attribute stat16 numeric
@attribute stat17 numeric
@attribute stat18 numeric
@attribute stat19 numeric
@attribute stat20 numeric
@attribute stat21 numeric
@attribute stat22 numeric
@attribute stat23 numeric
@attribute stat24 numeric
@attribute stat25 numeric
@attribute stat26 numeric
@attribute stat27 numeric
@attribute stat28 numeric
@attribute stat29 numeric
@attribute stat30 numeric
@attribute stat31 numeric
@attribute stat32 numeric
@attribute stat33 numeric
@attribute stat34 numeric
@attribute stat35 numeric
@attribute stat36 numeric
@attribute stat37 numeric
@attribute stat38 numeric
@attribute stat39 numeric
@attribute stat40 numeric
@attribute stat41 numeric
@attribute stat42 numeric
@attribute stat43 numeric
@attribute stat44 numeric
@attribute class numeric

@data

0.017335,0.18164,0.18042,0.1832,0.2482,0.17412,0.13521,0.19939,0.15195,0.24623,0.14267,0.12637,0.01406,0.020347,0.01574,0.012614,0.013323,0.2482,0.19721,0.071425,-0.12578,0.061446,0.217,0.26273,0.3158,0.37152,0.41295,0.54688,0.058154,0.30098,0.81172,0.88735,0.11236,0.099953,0.10643,0.13163,0.085764,0.069779,0.1131,0.082606,0.086518,0.077207,0.019604,0.001354,0.01081,0.00807,0.006087,0.003958,0.25581,0.31329,0.21379,0.26895,0.13123,0.090089,0.043075,0.1414,-0.14118,-0.074753,0.065618,0.11125,-0.079401,0.057975,-0.00829,-0.12013,0.13907,-0.02496,0.056402,0.12971,-0.03916,0.020559,0.055765,0.041576,-0.048524,-0.042367,-0.034063,-0.035077,2.0286,1176
0.019907,0.10353,0.10509,0.11077,0.13068,0.098253,0.13715,0.25075,0.24059,0.43424,0.50078,0.25715,0.012143,0.020007,0.017005,0.017169,0.012549,0.50078,0.32055,0.19466,-0.12589,0.063888,0.34999,0.41724,0.494,0.57325,0.63079,0.26562,0.11304,0.64989,0.53535,0.51821,0.043169,0.046223,0.043631,0.065081,0.053813,0.076089,0.14282,0.13953,0.24885,0.29813,0.14419,0.006468,0.005741,0.013467,0.004325,0.006749,0.13464,0.28688,0.18117,0.2253,0.1335,0.13286,0.059792,-0.065968,0.10275,0.088588,0.061603,0.04457,0.05569,0.016505,0.077293,0.13592,0.1352,-0.11385,-0.082228,0.089493,0.027169,0.031796,-0.007215,0.13882,-0.034707,-0.02734,-0.038842,0.009499,1.9054,667.5
0.018106,0.23031,0.15489,0.22814,0.097387,0.12578,0.2238,0.26913,0.19788,0.15333,0.083607,0.11282,0.011926,0.012879,0.007966,0.005793,0.007116,0.26913,0.26161,0.18358,-0.078021,0.052642,0.29689,0.38222,0.48769,0.60504,0.69369,0.25,0.13772,0.78102,0.77082,0.88342,0.17934,0.12368,0.13721,0.052789,0.075406,0.13318,0.17496,0.13341,0.10517,0.048524,0.060088,0.003726,0.002807,0.001067,0.004523,0.003776,0.25067,0.37061,0.32583,0.32821,-0.11025,-0.11606,0.013749,-0.073768,0.016277,0.022313,-0.039013,-0.058393,-0.086529,0.043921,0.13601,0.1233,-0.026353,-0.042404,-0.057212,0.14048,0.058114,-0.003491,0.029917,0.055082,-0.051852,-0.053583,-0.05191,-0.046169,2.0377,667
0.011446,0.051474,0.10015,0.092301,0.17109,0.1908,0.19265,0.18624,0.19869,0.14883,0.10733,0.058545,0.012179,0.004208,0.016998,0.009669,0.01318,0.19869,0.206,0.12272,-0.083283,0.038174,0.24928,0.36453,0.52586,0.72326,0.83833,0.1875,0.12401,0.66858,0.73496,0.74455,0.029234,0.05331,0.04913,0.093339,0.11412,0.10583,0.10193,0.10969,0.082629,0.068534,0.040949,0.004954,0.002747,0.006122,0.004267,0.002048,0.22914,0.24826,0.21746,0.23726,0.077327,0.13673,0.13679,0.10723,0.018154,0.099427,0.10355,0.093849,0.087797,-0.046387,-0.12686,-0.10718,-0.041295,0.11823,0.017905,0.084183,0.44912,0.097709,0.30398,0.26146,0.16728,-0.003644,0.089782,0.053893,1.763,388.5
0.010242,0.3782,0.11243,0.054042,0.016269,0.017548,0.01298,0.009326,0.007921,0.009885,0.005659,0.008976,0.041385,0.024465,0.012122,0.023082,0.021506,0.3782,0.08374,0.054786,-0.028954,0.019645,0.1157,0.21999,0.40561,0.65637,0.60421,0.35938,0.039324,0.12703,0.10873,0.13431,0.20968,0.06901,0.028857,0.008833,0.005145,0.004001,0.001829,0.003776,0.004227,0.001881,0.003753,0.021951,0.01642,0.001253,0.007768,0.005312,0.096904,0.22203,0.16669,0.17114,-0.03227,-0.001692,0.13281,0.11285,0.037739,0.1391,0.14034,0.14097,0.082756,-0.13153,-0.13586,0.14125,-0.056155,0.090294,0.006884,-0.12076,0.53044,0.57989,0.59014,0.67799,0.21153,0.24851,0.25562,0.38977,0.93071,254.5
0.020265,0.043609,0.047068,0.091678,0.042707,0.063653,0.14531,0.34779,0.41738,0.35881,0.20041,0.35046,0.014711,0.01685,0.021778,0.014455,0.012683,0.41738,0.28994,0.1665,-0.12344,0.063803,0.31665,0.37769,0.44741,0.51943,0.57177,0.40625,0.076524,0.41099,0.84015,0.82498,0.035338,0.02747,0.038581,0.025802,0.034796,0.077064,0.18765,0.23341,0.19083,0.10752,0.18888,0.005051,0.006711,0.011716,0.009507,0.00175,0.1428,0.31969,0.18072,0.23793,-0.12616,-0.054495,-0.11492,-0.094398,0.10491,0.14136,0.12014,0.080104,0.13778,0.12706,0.12154,-0.12598,0.10917,0.12375,-0.052871,-0.010807,0.12117,0.1585,0.12397,0.26847,-0.031556,-0.027894,-0.0276,0.042625,1.7834,1583.5
0.018071,0.045916,0.05791,0.22045,0.25762,0.25373,0.14844,0.18899,0.17688,0.19186,0.12421,0.09116,0.016511,0.01217,0.008254,0.011764,0.010608,0.25762,0.22733,0.13297,-0.094368,0.069881,0.24381,0.28048,0.32073,0.3605,0.3864,0.29688,0.11356,0.88923,1.1216,1.1292,0.016442,0.027621,0.12934,0.15886,0.13732,0.079069,0.10256,0.094201,0.092235,0.060221,0.048668,0.004026,0.004412,0.001162,0.001079,0.003473,0.19167,0.31685,0.2485,0.26334,-0.067372,-0.10058,-0.038356,-0.0296,0.032728,0.1359,0.11337,0.13608,0.13739,0.056902,0.13306,0.093149,0.14087,0.13338,-0.13511,0.096626,-0.026271,0.028993,0.060924,0.078604,-0.041665,-0.039715,-0.031391,-0.021571,1.9927,2437.5
0.023751,0.030608,0.030753,0.062179,0.065808,0.16862,0.40079,0.40374,0.49501,0.3993,0.21278,0.23728,0.010424,0.015042,0.017595,0.02831,0.015472,0.49501,0.32542,0.21898,-0.10644,0.066178,0.35282,0.41477,0.48441,0.55516,0.60492,0.26562,0.10285,0.44882,0.26566,0.28875,0.008812,0.018867,0.03507,0.037265,0.093961,0.23235,0.23377,0.27667,0.24445,0.12744,0.10904,0.006645,0.006532,0.002141,0.015033,0.002527,0.059545,0.29087,0.19068,0.22243,0.13497,-0.001333,0.071344,0.067342,0.083827,0.04491,-0.039508,-0.078104,-0.005623,0.017027,-0.07032,-0.027271,0.13255,0.071534,0.13983,-0.008385,0.090239,0.15458,0.18638,0.31515,-0.038829,-0.032651,-0.015677,0.047793,1.6755,458
0.0171,0.052058,0.042373,0.026724,0.053939,0.1982,0.42929,0.45876,0.41014,0.19451,0.097342,0.089959,0.012881,0.012518,0.032353,0.027307,0.021088,0.45876,0.27449,0.13283,-0.14166,0.051171,0.31328,0.40788,0.52614,0.659,0.75858,0.3125,0.17697,0.47404,0.34464,0.31573,0.020683,0.019468,0.012666,0.028636,0.109,0.22842,0.24594,0.2179,0.10928,0.052538,0.02928,0.002749,0.001771,0.001955,0.010903,0.011189,0.13847,0.32108,0.14911,0.22839,0.11869,0.0801,-0.10457,0.14006,0.098171,0.13723,0.12792,0.13913,0.075264,0.11978,-0.10485,0.086465,0.13983,0.10537,-0.066944,0.14083,0.1266,0.22392,0.22842,0.36382,-0.033913,-0.009064,0.000042,0.099631,1.6045,535
