@relation InstanceResultListener

@attribute Key_Dataset {soybean}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.trees.J48}
@attribute Key_Scheme_options {'-C 0.25 -M 2','-C 0.1 -M 2'}
@attribute Key_Scheme_version_ID {-217733168393644444}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary {'Number of leaves: 64\nSize of the tree: 96\n','Number of leaves: 62\nSize of the tree: 95\n','Number of leaves: 58\nSize of the tree: 88\n','Number of leaves: 58\nSize of the tree: 89\n','Number of leaves: 66\nSize of the tree: 101\n','Number of leaves: 55\nSize of the tree: 84\n','Number of leaves: 69\nSize of the tree: 103\n','Number of leaves: 71\nSize of the tree: 106\n','Number of leaves: 55\nSize of the tree: 85\n','Number of leaves: 55\nSize of the tree: 86\n','Number of leaves: 54\nSize of the tree: 84\n','Number of leaves: 57\nSize of the tree: 87\n','Number of leaves: 67\nSize of the tree: 102\n','Number of leaves: 65\nSize of the tree: 99\n','Number of leaves: 54\nSize of the tree: 83\n','Number of leaves: 70\nSize of the tree: 107\n','Number of leaves: 61\nSize of the tree: 93\n','Number of leaves: 72\nSize of the tree: 106\n','Number of leaves: 59\nSize of the tree: 90\n','Number of leaves: 66\nSize of the tree: 98\n','Number of leaves: 58\nSize of the tree: 90\n','Number of leaves: 62\nSize of the tree: 96\n','Number of leaves: 56\nSize of the tree: 86\n','Number of leaves: 61\nSize of the tree: 92\n','Number of leaves: 53\nSize of the tree: 83\n','Number of leaves: 70\nSize of the tree: 104\n','Number of leaves: 57\nSize of the tree: 88\n','Number of leaves: 62\nSize of the tree: 93\n','Number of leaves: 71\nSize of the tree: 107\n','Number of leaves: 59\nSize of the tree: 91\n','Number of leaves: 70\nSize of the tree: 105\n','Number of leaves: 60\nSize of the tree: 93\n','Number of leaves: 53\nSize of the tree: 82\n','Number of leaves: 57\nSize of the tree: 89\n','Number of leaves: 74\nSize of the tree: 111\n','Number of leaves: 64\nSize of the tree: 97\n','Number of leaves: 56\nSize of the tree: 85\n','Number of leaves: 66\nSize of the tree: 100\n','Number of leaves: 62\nSize of the tree: 94\n','Number of leaves: 67\nSize of the tree: 103\n','Number of leaves: 56\nSize of the tree: 83\n','Number of leaves: 68\nSize of the tree: 102\n','Number of leaves: 71\nSize of the tree: 108\n','Number of leaves: 60\nSize of the tree: 91\n','Number of leaves: 66\nSize of the tree: 103\n','Number of leaves: 55\nSize of the tree: 83\n','Number of leaves: 74\nSize of the tree: 110\n','Number of leaves: 61\nSize of the tree: 95\n','Number of leaves: 74\nSize of the tree: 113\n','Number of leaves: 67\nSize of the tree: 101\n','Number of leaves: 60\nSize of the tree: 90\n','Number of leaves: 73\nSize of the tree: 110\n','Number of leaves: 61\nSize of the tree: 94\n','Number of leaves: 71\nSize of the tree: 104\n','Number of leaves: 57\nSize of the tree: 86\n','Number of leaves: 66\nSize of the tree: 99\n','Number of leaves: 59\nSize of the tree: 92\n','Number of leaves: 70\nSize of the tree: 106\n','Number of leaves: 63\nSize of the tree: 97\n','Number of leaves: 52\nSize of the tree: 80\n','Number of leaves: 77\nSize of the tree: 114\n','Number of leaves: 69\nSize of the tree: 102\n','Number of leaves: 59\nSize of the tree: 89\n','Number of leaves: 67\nSize of the tree: 100\n','Number of leaves: 73\nSize of the tree: 108\n','Number of leaves: 63\nSize of the tree: 98\n','Number of leaves: 64\nSize of the tree: 95\n','Number of leaves: 56\nSize of the tree: 88\n','Number of leaves: 56\nSize of the tree: 87\n','Number of leaves: 64\nSize of the tree: 98\n','Number of leaves: 73\nSize of the tree: 109\n','Number of leaves: 61\nSize of the tree: 96\n','Number of leaves: 63\nSize of the tree: 96\n','Number of leaves: 65\nSize of the tree: 98\n','Number of leaves: 54\nSize of the tree: 81\n','Number of leaves: 68\nSize of the tree: 101\n','Number of leaves: 68\nSize of the tree: 104\n','Number of leaves: 69\nSize of the tree: 104\n','Number of leaves: 72\nSize of the tree: 107\n','Number of leaves: 65\nSize of the tree: 97\n','Number of leaves: 70\nSize of the tree: 103\n','Number of leaves: 60\nSize of the tree: 92\n','Number of leaves: 72\nSize of the tree: 108\n','Number of leaves: 51\nSize of the tree: 79\n','Number of leaves: 67\nSize of the tree: 99\n','Number of leaves: 63\nSize of the tree: 95\n','Number of leaves: 68\nSize of the tree: 103\n','Number of leaves: 69\nSize of the tree: 105\n','Number of leaves: 75\nSize of the tree: 114\n','Number of leaves: 52\nSize of the tree: 81\n','Number of leaves: 53\nSize of the tree: 81\n','Number of leaves: 69\nSize of the tree: 101\n','Number of leaves: 63\nSize of the tree: 94\n','Number of leaves: 61\nSize of the tree: 91\n','Number of leaves: 63\nSize of the tree: 99\n','Number of leaves: 71\nSize of the tree: 105\n','Number of leaves: 54\nSize of the tree: 85\n','Number of leaves: 50\nSize of the tree: 77\n','Number of leaves: 51\nSize of the tree: 78\n','Number of leaves: 49\nSize of the tree: 76\n','Number of leaves: 58\nSize of the tree: 87\n','Number of leaves: 50\nSize of the tree: 78\n','Number of leaves: 48\nSize of the tree: 74\n','Number of leaves: 52\nSize of the tree: 79\n','Number of leaves: 62\nSize of the tree: 92\n','Number of leaves: 66\nSize of the tree: 97\n','Number of leaves: 51\nSize of the tree: 76\n'}
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumRules numeric

@data

soybean,1,1,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20240420.1606,614,69,62,7,0,89.855072,10.144928,0,0.888863,0.015195,0.09954,15.784035,45.353727,267.786855,2170.618893,-1902.832038,3.880969,31.458245,-27.577276,237.82153,3.446689,88.810009,1,2,0,0,1,67,0,0,1,1,1,1,1,1,0.898551,0.013476,0.986524,0.101449,0.918006,0.898551,0.893135,0.889833,0.980408,0.919009,0.9253,0.898551,0.01,0,0,0,0,0,60890,202240,29475,97.101449,8.085431,'Number of leaves: 64\nSize of the tree: 96\n',96,64,64
soybean,1,2,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20240420.1606,614,69,64,5,0,92.753623,7.246377,0,0.920525,0.011384,0.071403,11.82537,32.533781,267.786855,1087.194875,-819.40802,3.880969,15.756447,-11.875479,249.489879,3.615795,93.167336,1,2,0,0,1,67,0,0,1,1,1,1,1,1,0.927536,0.009128,0.990872,0.072464,?,0.927536,?,?,0.9907,0.964979,?,0.927536,0.007,0.001,0,0,0,0,60200,202240,29475,98.550725,8.466819,'Number of leaves: 62\nSize of the tree: 95\n',95,62,62
soybean,1,3,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20240420.1606,614,69,63,6,0,91.304348,8.695652,0,0.90441,0.014211,0.088379,14.784755,40.337818,265.180215,2165.833794,-1900.65358,3.843192,31.388896,-27.545704,238.555467,3.457326,89.959753,1,2,0,0,1,67,0,0,1,1,1,1,1,1,0.913043,0.01215,0.98785,0.086957,?,0.913043,?,?,0.978864,0.92495,?,0.913043,0.007,0.001,0,0,0,0,56490,202240,29475,97.101449,9.305873,'Number of leaves: 58\nSize of the tree: 88\n',88,58,58
soybean,1,4,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20240420.1606,615,68,61,7,0,89.705882,10.294118,0,0.886015,0.015765,0.091886,16.452983,42.08755,255.151643,1096.518257,-841.366614,3.75223,16.125268,-12.373038,230.216101,3.385531,90.227168,1,2,0,0,1,66,0,0,1,1,1,1,1,1,0.897059,0.01658,0.98342,0.102941,0.90612,0.897059,0.897859,0.884116,0.983107,0.924047,0.944932,0.897059,0.011,0,0,0,0,0,56956,202557,29158,98.529412,9.210526,'Number of leaves: 58\nSize of the tree: 89\n',89,58,58
soybean,1,5,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20240420.1606,615,68,66,2,0,97.058824,2.941176,0,0.967557,0.009219,0.062634,9.6121,28.658605,256.172375,1084.421969,-828.249594,3.767241,15.947382,-12.180141,241.291977,3.548411,94.191256,1,2,0.015152,1,0.984848,65,0,0,0.666667,1,0.8,0.810287,0.992424,0.666667,0.970588,0.002689,0.997311,0.029412,0.976961,0.970588,0.969562,0.969176,0.990679,0.9604,0.964178,0.970588,0.008,0.001,0,0,0,0,63444,202557,29158,98.529412,8.74613,'Number of leaves: 66\nSize of the tree: 101\n',101,66,66
soybean,1,6,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20240420.1606,615,68,60,8,0,88.235294,11.764706,0,0.870753,0.01625,0.087353,16.914545,39.89334,259.391913,1095.642122,-836.250209,3.814587,16.112384,-12.297797,234.614061,3.450207,90.447716,1,2,0,0,1,66,0,0,1,1,1,1,1,1,0.882353,0.016149,0.983851,0.117647,?,0.882353,?,?,0.987439,0.94524,?,0.882353,0.008,0.002,0,0,0,0,54290,202557,29158,98.529412,9.520124,'Number of leaves: 55\nSize of the tree: 84\n',84,55,55
soybean,1,7,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20240420.1606,615,68,63,5,0,92.647059,7.352941,0,0.919009,0.012739,0.08629,13.260062,39.408073,259.391913,3235.205891,-2975.813978,3.814587,47.576557,-43.76197,235.834131,3.468149,90.918074,1,2,0,0,1,66,0,0,1,1,1,1,1,1,0.926471,0.009064,0.990936,0.073529,?,0.926471,?,?,0.9718,0.895987,?,0.926471,0.01,0,0,0,0,0,64712,202557,29158,94.117647,7.739938,'Number of leaves: 69\nSize of the tree: 103\n',103,69,69
soybean,1,8,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20240420.1606,615,68,61,7,0,89.705882,10.294118,0,0.887417,0.013003,0.085793,13.527109,39.156096,260.757564,2161.774208,-1901.016644,3.83467,31.790797,-27.956127,238.698041,3.510265,91.540217,0.5,1,0,0,1,66,0.5,1,1,0.5,0.666667,0.70181,0.746212,0.514706,0.897059,0.008986,0.991014,0.102941,0.91924,0.897059,0.896598,0.892517,0.983228,0.952483,0.906509,0.897059,0.017,0.001,0,0,0,0,66334,202557,29158,97.058824,8.049536,'Number of leaves: 71\nSize of the tree: 106\n',106,71,71
soybean,1,9,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20240420.1606,615,68,62,6,0,91.176471,8.823529,0,0.903432,0.013554,0.082107,14.07102,37.385912,264.814206,1093.70755,-828.893345,3.894327,16.083935,-12.189608,243.84565,3.585965,92.081786,1,2,0,0,1,66,0,0,1,1,1,1,1,1,0.911765,0.013177,0.986823,0.088235,0.920752,0.911765,0.909252,0.901734,0.987679,0.940743,0.945747,0.911765,0.01,0.001,0.015625,0,15.625,0,54756,202557,29158,97.058824,9.055728,'Number of leaves: 55\nSize of the tree: 85\n',85,55,55
soybean,1,10,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20240420.1606,615,68,63,5,0,92.647059,7.352941,0,0.919584,0.013725,0.0804,14.247861,36.608293,264.814206,1091.639649,-826.825443,3.894327,16.053524,-12.159198,244.242946,3.591808,92.231814,1,2,0,0,1,66,0,0,1,1,1,1,1,1,0.926471,0.009419,0.990581,0.073529,?,0.926471,?,?,0.988161,0.954108,?,0.926471,0.017,0.001,0,0,0,0,55222,202557,29158,98.529412,9.752322,'Number of leaves: 55\nSize of the tree: 86\n',86,55,55
soybean,2,1,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20240420.1606,614,69,61,8,0,88.405797,11.594203,0,0.872899,0.015454,0.098537,16.06213,44.927253,266.200947,2171.157766,-1904.956818,3.857985,31.466055,-27.60807,238.253334,3.452947,89.501309,1,2,0,0,1,67,0,0,1,1,1,1,1,1,0.884058,0.017391,0.982609,0.115942,0.896739,0.884058,0.885479,0.871866,0.976087,0.90277,0.940144,0.884058,0.009,0.001,0,0,0,0,54178,202240,29475,95.652174,8.77193,'Number of leaves: 54\nSize of the tree: 84\n',84,54,54
soybean,2,2,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20240420.1606,614,69,65,4,0,94.202899,5.797101,0,0.936449,0.012788,0.073623,13.290772,33.566035,266.421204,1088.987873,-822.566669,3.861177,15.782433,-11.921256,248.299535,3.598544,93.198113,1,2,0,0,1,67,0,0,1,1,1,1,1,1,0.942029,0.008696,0.991304,0.057971,0.943478,0.942029,0.939995,0.93363,0.989734,0.961119,0.962142,0.942029,0.007,0.002,0,0,0,0,55912,202240,29475,98.550725,9.153318,'Number of leaves: 57\nSize of the tree: 87\n',87,57,57
