company,company size,location,technology,seniority,salary employment min,salary employment max,salary b2b min,salary b2b max,year,month
Link Group,100.0,Kraków,Python,mid,22000.0,29000.0,,,2023,09
Link Group,100.0,Katowice,Python,mid,22000.0,29000.0,,,2023,09
Link Group,100.0,Warszawa,C#,senior,,,30000.0,40000.0,2023,09
Link Group,100.0,Katowice,C#,senior,,,30000.0,40000.0,2023,09
Link Group,100.0,Kraków,C#,senior,,,30000.0,40000.0,2023,09
Link Group,100.0,Gdańsk,C#,senior,,,30000.0,40000.0,2023,09
Link Group,100.0,Wrocław,C#,senior,,,30000.0,40000.0,2023,09
Link Group,100.0,Remote,Java,senior,,,25200.0,31920.0,2023,09
Link Group,100.0,Remote,Java,mid,,,16800.0,20160.0,2023,09
Link Group,100.0,Kraków,Java,senior,,,21840.0,27720.0,2023,09
Link Group,100.0,Remote,,senior,,,36960.0,42000.0,2023,09
Link Group,100.0,Kraków,C/C++,mid,8000.0,16000.0,,,2023,09
Link Group,100.0,Warszawa,Scala,mid,18000.0,23000.0,20000.0,25000.0,2023,09
Link Group,100.0,Remote,C#,mid,15000.0,20000.0,15000.0,20000.0,2023,09
Link Group,100.0,Warszawa,Java,junior,,,10080.0,14280.0,2023,09
Link Group,100.0,Łódź,Java,junior,,,10080.0,14280.0,2023,09
Link Group,100.0,Kraków,PHP,senior,25000.0,28000.0,,,2023,09
Link Group,100.0,Kraków,Python,senior,25000.0,31000.0,,,2023,09
Link Group,100.0,Remote,Java,senior,,,26880.0,35280.0,2023,09
Link Group,100.0,Remote,Golang,senior,20000.0,27000.0,20000.0,27000.0,2023,09
Link Group,100.0,Warszawa,C#,senior,15000.0,25000.0,,,2023,09
Link Group,100.0,Gdańsk,C#,senior,15000.0,25000.0,,,2023,09
Link Group,100.0,Kraków,C#,senior,15000.0,25000.0,,,2023,09
Link Group,100.0,Wrocław,C#,senior,15000.0,25000.0,,,2023,09
Link Group,100.0,Remote,Python,mid,,,13440.0,16800.0,2023,09
Link Group,100.0,Remote,C#,senior,,,17000.0,21000.0,2023,09
Link Group,100.0,Kraków,JavaScript,mid,,,20160.0,29904.0,2023,09
Link Group,100.0,Remote,Java,mid,,,13440.0,16800.0,2023,09
Link Group,100.0,Remote,PHP,junior,,,11500.0,15000.0,2023,09
Link Group,100.0,Remote,Java,mid,,,16800.0,26880.0,2023,09
Link Group,100.0,Warszawa,Python,senior,35000.0,42000.0,35000.0,42000.0,2023,09
Link Group,100.0,Warszawa,Java,expert,34000.0,38000.0,34000.0,38000.0,2023,09
