id,company,company size,location,technology,seniority,salary employment min,salary employment max,salary b2b min,salary b2b max
6b6fe6d3b2e0091122903db0689862d1,Avenga,1000.0,Remote,JavaScript,mid,,,20160.0,21840.0
f1ce504b279535f59eb0ca86467a6a52,Avenga,1000.0,Warszawa,JavaScript,mid,,,20160.0,21840.0
05e8d244bf35f52a4961530fce23c3e3,Avenga,1000.0,Warszawa,Java,senior,,,26880.0,31920.0
36840bdf865fbd69d1cedd060ac089df,Avenga,1000.0,Remote,Java,senior,,,26880.0,31080.0
ed1018afa0b1d12a38e64575eab5cee1,Avenga,1000.0,Warszawa,Java,senior,,,26880.0,31080.0
4efacafb567a370847c138a7e558feb9,Avenga,1000.0,Kraków,Java,mid,,,18480.0,21840.0
cacc463844beca41bcbf0013b1e5a86e,Avenga,1000.0,Warszawa,Java,senior,,,26880.0,33600.0
151feaf29fd141476ad7881241dca0b2,Avenga,1000.0,Kraków,Java,senior,,,26880.0,33600.0
0e9cf05cb8b4c6b5c35048d01c683567,Avenga,1000.0,Warszawa,Python,mid,,,18480.0,23520.0
eb5a50d248b0ec27b78d8234e7bb0f09,Avenga,1000.0,Warszawa,Java,senior,,,26880.0,30240.0
9ccc10e9c27124a3b0b680bde0d322bb,Avenga,1000.0,Remote,JavaScript,senior,,,20160.0,23520.0
1edc8348ea2612292eb5788281ef9e53,Avenga,1000.0,Warszawa,JavaScript,senior,,,20160.0,23520.0
8fd81bed230cfaaf3f5df6960fa70993,Avenga,1000.0,Gdańsk,JavaScript,senior,,,20160.0,23520.0
1bb1c5a52c34c210d6d7bb35635a3bd0,Avenga,1000.0,Wrocław,JavaScript,senior,,,20160.0,23520.0
27bb7625b37f928735b8b014e461cd5f,Avenga,1000.0,Kraków,JavaScript,senior,,,20160.0,23520.0
2632503e8f45f3f3fc3da20d85238f4b,Avenga,1000.0,Katowice,JavaScript,senior,,,20160.0,23520.0
99f4e6e914391c5106f7862202d94e59,Avenga,1000.0,Remote,Java,expert,,,30240.0,36960.0
c5800e383955da3af1954ecee11e037c,Avenga,1000.0,Warszawa,Java,expert,,,30240.0,36960.0
1628d17581d5c842eac76902c37a1670,Link Group,100.0,Warszawa,C/C++,mid,15000.0,25000.0,,
9c97da8c0a8702b60ebf1c91cc2bc76f,Link Group,100.0,Remote,Python,senior,,,34880.0,43600.0
f165a6226defa8611b52becf16081807,Link Group,100.0,Gdańsk,Python,senior,,,34880.0,43600.0
181a86ed03e602abab0e3d03df514e4e,Link Group,100.0,Kraków,Python,senior,,,34880.0,43600.0
b6c437804623c1848ac37aad8cc85b64,Link Group,100.0,Wrocław,Python,senior,,,34880.0,43600.0
450dac2a7403708f40b478b9c106e7dd,Link Group,100.0,Remote,Python,senior,,,38640.0,43680.0
0444ac7178768725d37f30c5ff459268,Link Group,100.0,Warszawa,Python,senior,,,38640.0,43680.0
cbcae7520ab310ffd0df68fd118296e9,Link Group,100.0,Wrocław,Python,senior,,,38640.0,43680.0
a890dfceccd44f6a3dfd06bf3d0ce9fe,Link Group,100.0,Gdańsk,Python,senior,,,38640.0,43680.0
3a279b6909f79644b69be596c80d4a43,Link Group,100.0,Kraków,Python,senior,,,38640.0,43680.0
1b3ca69218afe9dda3c5235410f99120,Link Group,100.0,Warszawa,Java,mid,,,22680.0,25200.0
b986b2cce3e8ae033e9670c946e49731,Link Group,100.0,Warszawa,Python,senior,27000.0,32000.0,27000.0,32000.0
85d443c2e52080e8eb9d0fffbfb233e0,Link Group,100.0,Warszawa,Mobile,senior,18000.0,30000.0,18000.0,30000.0
db41e844991546abaebdad157305d3f1,Link Group,100.0,Gdańsk,Mobile,senior,18000.0,30000.0,18000.0,30000.0
c9b468cb2668057c4a3a5c968078ed54,Link Group,100.0,Kraków,Mobile,senior,18000.0,30000.0,18000.0,30000.0
f19007a85a29221ee06a04fcee4e58fd,Link Group,100.0,Wrocław,Mobile,senior,18000.0,30000.0,18000.0,30000.0
702139d5054c168ca6f240f0c67890cb,Hitachi Energy,1000.0,Kraków,C/C++,senior,16000.0,23000.0,,
d8ef552f93e844742999ae9485f1f000,Hitachi Energy,1000.0,Kraków,C#,senior,16000.0,23000.0,,
1303a6eb39192943092ae5e1a6ae309d,Hitachi Energy,1000.0,Kraków,Kotlin,senior,12000.0,18000.0,,
56b73212d9bc684a8fa7a48ecb2d3655,Hitachi Energy,1000.0,Kraków,C#,senior,14000.0,19000.0,,
ec66d2211d50def18fdc480cac436ea5,Hitachi Energy,1000.0,Kraków,C#,senior,21000.0,27000.0,,
de5e51d6df69a08c852e325278b28419,Ework Group,10.0,Remote,Python,senior,,,29113.0,32024.0
1454fa200267104e6543a8bff4523ebb,Ework Group,10.0,Warszawa,Python,senior,,,29113.0,32024.0
e797c3dd1a2116cdf4aa4560e4f7fb05,Ework Group,10.0,Remote,C#,senior,,,25200.0,30240.0
17f2f82f788b74b960bf2a3289d8c2bb,Ework Group,10.0,Wrocław,C#,senior,,,25200.0,30240.0
ccdaf20c254026b04c61e43402072c76,Ework Group,10.0,Remote,JavaScript,expert,,,25600.0,28800.0
b7a017e53649f1ac3689abfd26b4a16f,Ework Group,10.0,Wrocław,JavaScript,expert,,,25600.0,28800.0
b611cc45af8e8ecf6c76aa72083451b0,Ework Group,10.0,Gdańsk,JavaScript,mid,,,20800.0,24500.0
6470b5d26fc632050025fd19185e63ea,Ework Group,10.0,Remote,C#,mid,,,18480.0,21840.0
1d51ed4fcc736d2983e3202f3db7d4f6,Ework Group,10.0,Warszawa,C#,mid,,,18480.0,21840.0
811de00744e6d08926fb163e82480a97,Box,1000.0,Warszawa,JavaScript,senior,30000.0,35000.0,,
177fc416f27bcad0990487eafcf4927e,Box,1000.0,Warszawa,C/C++,senior,30000.0,35000.0,,
fe6b8b32830d7469b71eb71eae81765f,Box,1000.0,Warszawa,Java,senior,30000.0,35000.0,,
aeb1c3e09cfe967e5c0267c3218793eb,Box,1000.0,Warszawa,Java,senior,37000.0,44000.0,,
ae6f15e795140526b219254fd7b38a96,N-iX,1000.0,Remote,JavaScript,mid,,,13080.0,15260.0
ae1e75f165c3a29d9a22681e9abceed5,N-iX,1000.0,Kraków,JavaScript,mid,,,13080.0,15260.0
b70445dc038513c7b94b52373a08e68e,N-iX,1000.0,Wrocław,JavaScript,mid,,,13080.0,15260.0
d4a0cf37b88d8df138ba40f677d061f4,N-iX,1000.0,Warszawa,JavaScript,mid,,,13080.0,15260.0
eb4f695118df558c2b2f24317d6f0810,N-iX,1000.0,Remote,Python,senior,,,16568.0,25288.0
e536c6d1d092dac272aefe1e2b89927e,N-iX,1000.0,Kraków,Python,senior,,,16568.0,25288.0
b2eb612a4f30c7d81e8e1e2ef4e8ee05,N-iX,1000.0,Wrocław,Python,senior,,,16568.0,25288.0
593fe07ab75dde571bc4174df467e379,N-iX,1000.0,Warszawa,Python,senior,,,16568.0,25288.0
84a9ac6519a94a043325e92cf1713d56,N-iX,1000.0,Remote,Golang,senior,,,19184.0,28776.0
f62acb14591f0d87225a171b158bad70,N-iX,1000.0,Kraków,Golang,senior,,,19184.0,28776.0
e9ff77db19ba1f9b65427abff5e1c796,N-iX,1000.0,Wrocław,Golang,senior,,,19184.0,28776.0
fac61eb6e74abd63241a3e2264d0179a,N-iX,1000.0,Warszawa,Golang,senior,,,19184.0,28776.0
af0d10d69fd2b8bcfc1927fd4a14fbed,N-iX,1000.0,Remote,JavaScript,senior,,,19620.0,23980.0
a74ab00ad3c63443fe60821546a5e91a,N-iX,1000.0,Kraków,JavaScript,senior,,,19620.0,23980.0
549150844425b1445eb4f1ef8e0aea2a,N-iX,1000.0,Wrocław,JavaScript,senior,,,19620.0,23980.0
efee6d32d2e83424b092c909bb40a5cf,N-iX,1000.0,Warszawa,JavaScript,senior,,,19620.0,23980.0
ed7deefb2fd60fe1d51c125561f7ddb5,N-iX,1000.0,Remote,Java,senior,21800.0,23980.0,23980.0,27032.0
a548ac36b4dbbb72d413646dac198d1a,N-iX,1000.0,Kraków,Java,senior,21800.0,23980.0,23980.0,27032.0
0ade64bc569f45df655ed303eb08a2a0,N-iX,1000.0,Wrocław,Java,senior,21800.0,23980.0,23980.0,27032.0
fb2934bc55112443201e5adb23ac2f18,N-iX,1000.0,Warszawa,Java,senior,21800.0,23980.0,23980.0,27032.0
10b4cb2dd7a85de8142a24a055909ea4,N-iX,1000.0,Remote,JavaScript,senior,,,17440.0,24852.0
59c77f90a9851f8722fe9e14359a936f,N-iX,1000.0,Kraków,JavaScript,senior,,,17440.0,24852.0
4d6146bbf88865691f309924221de814,N-iX,1000.0,Wrocław,JavaScript,senior,,,17440.0,24852.0
d3ad9847153b18386e63485306502dd7,N-iX,1000.0,Remote,Mobile,senior,,,19620.0,20492.0
0e627c31de93226ca138cfabfc1e324f,N-iX,1000.0,Kraków,Mobile,senior,,,19620.0,20492.0
d79959bef1d9edd1ae3a5f1c2a739035,N-iX,1000.0,Remote,JavaScript,senior,,,21800.0,26596.0
b3401de2b8d0a4eab1c78433365c6177,N-iX,1000.0,Kraków,JavaScript,senior,,,21800.0,26596.0
d777c57ea340bf68b91458ea719daa25,N-iX,1000.0,Wrocław,JavaScript,senior,,,21800.0,26596.0
54cd209d75620fba6d688c2d786e6819,N-iX,1000.0,Warszawa,JavaScript,senior,,,21800.0,26596.0
4ae3c97e87e432dcf71e477014290e43,N-iX,1000.0,Remote,C#,senior,,,19620.0,24852.0
9593e71247d47015aae13744f90a67a5,N-iX,1000.0,Warszawa,C#,senior,,,19620.0,24852.0
49f7fe2312ed6865f9dbd97b7431e599,N-iX,1000.0,Remote,Python,senior,,,21800.0,28776.0
53292d2fc7e914f188435c48eba16781,N-iX,1000.0,Kraków,Python,senior,,,21800.0,28776.0
1897f50a7070ea964f09dbc3b658cabb,N-iX,1000.0,Wrocław,Python,senior,,,21800.0,28776.0
a2905d11f1e596364da51a6f1bdc3489,N-iX,1000.0,Warszawa,Python,senior,,,21800.0,28776.0
05dbc1ddba6a1b7e4aa72e74b2d1d911,N-iX,1000.0,Remote,C#,senior,,,21364.0,21800.0
2b5cecf46ff26d57cb2e4fa4b2a2c02b,N-iX,1000.0,Kraków,C#,senior,,,21364.0,21800.0
aeb88329b3f8b0d67901ad471e451a0a,N-iX,1000.0,Remote,JavaScript,senior,,,17440.0,23980.0
4fbb9dd0cc372535031a4aa461746f42,N-iX,1000.0,Kraków,JavaScript,senior,,,17440.0,23980.0
543dec901c12bf9dcf2cc8b5078d3be4,N-iX,1000.0,Wrocław,JavaScript,senior,,,17440.0,23980.0
29387d05bb24f4efbb5352c7c56d83fb,N-iX,1000.0,Warszawa,JavaScript,senior,,,17440.0,23980.0
